District,District Code,Taluka,Taluka Code,Village,Village Code,DTV Code
____,01,____,01,____ - 040,040,0101040
____,01,____,01,____ - 012,012,0101012
____,01,____,01,_____ - 051,051,0101051
____,01,____,01,______-________ - 067,067,0101067
____,01,____,01,____ - 013,013,0101013
____,01,____,01,_____ - 030,030,0101030
____,01,____,01,______ - 099,099,0101099
____,01,____,01,______ - 096,096,0101096
____,01,____,01,_____ - 046,046,0101046
____,01,____,01,____ - 024,024,0101024
____,01,____,01,_______ - 019,019,0101019
____,01,____,01,______ - 027,027,0101027
____,01,____,01,_____ - 008,008,0101008
____,01,____,01,_____ - 006,006,0101006
____,01,____,01,________ - 004,004,0101004
____,01,____,01,_____ __ - 086,086,0101086
____,01,____,01,________ - 021,021,0101021
____,01,____,01,________ - 020,020,0101020
____,01,____,01,________ - 003,003,0101003
____,01,____,01,_____ - 035,035,0101035
____,01,____,01,___ - 071,071,0101071
____,01,____,01,_____ - 041,041,0101041
____,01,____,01,____ - 092,092,0101092
____,01,____,01,______ - 077,077,0101077
____,01,____,01,______-_____ - 090,090,0101090
____,01,____,01,_________ - 064,064,0101064
____,01,____,01,______ - 009,009,0101009
____,01,____,01,_____ - 091,091,0101091
____,01,____,01,____ ____ - 044,044,0101044
____,01,____,01,____ ____ - 045,045,0101045
____,01,____,01,______ - 043,043,0101043
____,01,____,01,_____ - 038,038,0101038
____,01,____,01,_____ - 023,023,0101023
____,01,____,01,______ - 039,039,0101039
____,01,____,01,_____ - 072,072,0101072
____,01,____,01,_____ - 058,058,0101058
____,01,____,01,_____ - 037,037,0101037
____,01,____,01,___ ____ - 002,002,0101002
____,01,____,01,___ ____ - 001,001,0101001
____,01,____,01,_________ - 087,087,0101087
____,01,____,01,_______ - 055,055,0101055
____,01,____,01,______ - 078,078,0101078
____,01,____,01,_____ - 076,076,0101076
____,01,____,01,______ - 053,053,0101053
____,01,____,01,____ - 033,033,0101033
____,01,____,01,_______ - 085,085,0101085
____,01,____,01,_____ - 083,083,0101083
____,01,____,01,_____ - 026,026,0101026
____,01,____,01,_____ - 054,054,0101054
____,01,____,01,______ - 068,068,0101068
____,01,____,01,_____ - 042,042,0101042
____,01,____,01,_____ - 066,066,0101066
____,01,____,01,___ - 056,056,0101056
____,01,____,01,______ _____ - 022,022,0101022
____,01,____,01,___ - 094,094,0101094
____,01,____,01,________-_____ - 015,015,0101015
____,01,____,01,_______ - 014,014,0101014
____,01,____,01,________ - 028,028,0101028
____,01,____,01,____ - 075,075,0101075
____,01,____,01,_____ - 029,029,0101029
____,01,____,01,____ - 059,059,0101059
____,01,____,01,______ - 016,016,0101016
____,01,____,01,_____ - 073,073,0101073
____,01,____,01,________ - 057,057,0101057
____,01,____,01,_____ ____ - 097,097,0101097
____,01,____,01,_____ ____ - 098,098,0101098
____,01,____,01,_____ - 034,034,0101034
____,01,____,01,______ - 018,018,0101018
____,01,____,01,_____ - 011,011,0101011
____,01,____,01,______ - 047,047,0101047
____,01,____,01,_______ - 093,093,0101093
____,01,____,01,________ - 082,082,0101082
