District Name,District Code,Taluka Name,Taluka Code,Village Name,Village Code,DTV Code
કચ્છ,01,લખપત,01,અકરી - 040,040,0101040
કચ્છ,01,લખપત,01,અટડો - 012,012,0101012
કચ્છ,01,લખપત,01,અમીયા - 051,051,0101051
કચ્છ,01,લખપત,01,આશાલડી-સુજાવાંઢ - 067,067,0101067
કચ્છ,01,લખપત,01,ઉખેર - 013,013,0101013
કચ્છ,01,લખપત,01,ઉમરસર - 030,030,0101030
કચ્છ,01,લખપત,01,એકલીયુ - 099,099,0101099
કચ્છ,01,લખપત,01,કંઢોરા - 096,096,0101096
કચ્છ,01,લખપત,01,કુનરી - 046,046,0101046
કચ્છ,01,લખપત,01,કનોજ - 024,024,0101024
કચ્છ,01,લખપત,01,કપુરાશી - 019,019,0101019
કચ્છ,01,લખપત,01,કૈયારી - 027,027,0101027
કચ્છ,01,લખપત,01,કરણપર - 008,008,0101008
કચ્છ,01,લખપત,01,કાનેર - 006,006,0101006
કચ્છ,01,લખપત,01,કારીતરાઈ - 004,004,0101004
કચ્છ,01,લખપત,01,કોટડા મઢ - 086,086,0101086
કચ્છ,01,લખપત,01,કોટેશ્વર - 021,021,0101021
કચ્છ,01,લખપત,01,કોરીયાણી - 020,020,0101020
કચ્છ,01,લખપત,01,ખેંગારપર - 003,003,0101003
કચ્છ,01,લખપત,01,ખટીયા - 035,035,0101035
કચ્છ,01,લખપત,01,ખડક - 071,071,0101071
કચ્છ,01,લખપત,01,ખાણોટ - 041,041,0101041
કચ્છ,01,લખપત,01,ખારઈ - 092,092,0101092
કચ્છ,01,લખપત,01,ખારોડા - 077,077,0101077
કચ્છ,01,લખપત,01,ખીરસરા-ગુનાઉ - 090,090,0101090
કચ્છ,01,લખપત,01,ગુગરીયાણા - 064,064,0101064
કચ્છ,01,લખપત,01,ગુનેરી - 009,009,0101009
કચ્છ,01,લખપત,01,ગુનાઉ - 091,091,0101091
કચ્છ,01,લખપત,01,ગુહર નાની - 044,044,0101044
કચ્છ,01,લખપત,01,ગુહર મોટી - 045,045,0101045
કચ્છ,01,લખપત,01,ગોઘાતડ - 043,043,0101043
કચ્છ,01,લખપત,01,ઘડુલી - 038,038,0101038
કચ્છ,01,લખપત,01,ઘુનાય - 023,023,0101023
કચ્છ,01,લખપત,01,ઘારેશી - 039,039,0101039
કચ્છ,01,લખપત,01,ચકરાઈ - 072,072,0101072
કચ્છ,01,લખપત,01,ચામરા - 058,058,0101058
કચ્છ,01,લખપત,01,છુગેર - 037,037,0101037
કચ્છ,01,લખપત,01,છેર નાની - 002,002,0101002
કચ્છ,01,લખપત,01,છેર મોટી - 001,001,0101001
કચ્છ,01,લખપત,01,જુણાંગીયા - 087,087,0101087
કચ્છ,01,લખપત,01,જુણાચાય - 055,055,0101055
કચ્છ,01,લખપત,01,જુલરાઈ - 078,078,0101078
કચ્છ,01,લખપત,01,જાડવા - 076,076,0101076
કચ્છ,01,લખપત,01,ઝુમારા - 053,053,0101053
કચ્છ,01,લખપત,01,ઝારા - 033,033,0101033
કચ્છ,01,લખપત,01,ડેડરાણી - 085,085,0101085
કચ્છ,01,લખપત,01,ડેણમા - 083,083,0101083
કચ્છ,01,લખપત,01,તહેરા - 026,026,0101026
કચ્છ,01,લખપત,01,દયાપર - 054,054,0101054
કચ્છ,01,લખપત,01,દોલતપર - 068,068,0101068
કચ્છ,01,લખપત,01,નરેડી - 042,042,0101042
કચ્છ,01,લખપત,01,નરેડો - 066,066,0101066
કચ્છ,01,લખપત,01,નરા - 056,056,0101056
કચ્છ,01,લખપત,01,નારાયણ સરોવર - 022,022,0101022
કચ્છ,01,લખપત,01,પખો - 094,094,0101094
કચ્છ,01,લખપત,01,પુનરાજપર-ઢેઢડી - 015,015,0101015
કચ્છ,01,લખપત,01,પ્રાણપર - 014,014,0101014
કચ્છ,01,લખપત,01,પાન્ઘ્રો - 028,028,0101028
કચ્છ,01,લખપત,01,પીપર - 075,075,0101075
કચ્છ,01,લખપત,01,ફુલરા - 029,029,0101029
કચ્છ,01,લખપત,01,બુઘા - 059,059,0101059
કચ્છ,01,લખપત,01,બૈયાવો - 016,016,0101016
કચ્છ,01,લખપત,01,બરંદા - 073,073,0101073
કચ્છ,01,લખપત,01,બીટીયારી - 057,057,0101057
કચ્છ,01,લખપત,01,ભાડરા નાના - 097,097,0101097
કચ્છ,01,લખપત,01,ભાડરા મોટા - 098,098,0101098
કચ્છ,01,લખપત,01,મેઘપર - 034,034,0101034
કચ્છ,01,લખપત,01,મુઘવાય - 018,018,0101018
કચ્છ,01,લખપત,01,મુઘાન - 011,011,0101011
કચ્છ,01,લખપત,01,મુડીયા - 047,047,0101047
કચ્છ,01,લખપત,01,મણીયારા - 093,093,0101093
